iter	Passed	Remaining
625	3030040	1810279
626	3034470	1805195
627	3039289	1800343
628	3043962	1795405
629	3048392	1790325
630	3053471	1785627
631	3058187	1780716
632	3062609	1775636
633	3067622	1770898
634	3072703	1766199
635	3077197	1761163
636	3081814	1756198
637	3086618	1751341
638	3091356	1746447
639	3095666	1741312
640	3100294	1736358
641	3104642	1731249
642	3109155	1726233
643	3113722	1721250
644	3118949	1716630
645	3123192	1711470
646	3127596	1706401
647	3132251	1701470
648	3136585	1696366
649	3141836	1691758
650	3146375	1686766
651	3151008	1681826
652	3155583	1676856
653	3159857	1671728
654	3164862	1666988
655	3169172	1661883
656	3173319	1656694
657	3177849	1651709
658	3182747	1646914
659	3187178	1641880
660	3191653	1636869
661	3196537	1632069
662	3200948	1627028
663	3205395	1622007
664	3209896	1617015
665	3214526	1612089
666	3218684	1606929
667	3223134	1601917
668	3227942	1597083
669	3232710	1592230
670	3237013	1587149
671	3241801	1582307
672	3247021	1577676
673	3251717	1572788
674	3256571	1567979
675	3261936	1563413
676	3266611	1558516
677	3271064	1553514
678	3275746	1548622
679	3280127	1543589
680	3284425	1538519
681	3289149	1533650
682	3293465	1528592
683	3298050	1523660
684	3302246	1518551
685	3307002	1513701
686	3311338	1508659
687	3315873	1503710
688	3320165	1498652
689	3325191	1493926
690	3329697	1488967
691	3333966	1483904
692	3338148	1478804
693	3342561	1473809
694	3347205	1468917
695	3352542	1464329
696	3357440	1459547
697	3362196	1454703
698	3366957	1449863
699	3371693	1445011
700	3376470	1440177
701	3380933	1435211
702	3385539	1430306
703	3390184	1425418
704	3394536	1420408
705	3399230	1415543
706	3404030	1410722
707	3408478	1405756
708	3413340	1400962
709	3417408	1395843
710	3422701	1391224
711	3426993	1386199
712	3431530	1381275
713	3436794	1376643
714	3441128	1371638
715	3445696	1366728
716	3450590	1361948
717	3454755	1356881
718	3459011	1351852
719	3463213	1346805
720	3467501	1341793
721	3472008	1336867
722	3476674	1332004
723	3481231	1327099
724	3486332	1322401
725	3490676	1317417
726	3494930	1312401
727	3499847	1307635
728	3504144	1302638
729	3509070	1297875
730	3513516	1292935
731	3518316	1288126
732	3522679	1283158
733	3527064	1278200
734	3532090	1273474
735	3536669	1268588
736	3540695	1263504
737	3545350	1258647
738	3549968	1253777
739	3554208	1248775
740	3558931	1243945
741	3563529	1239070
742	3568110	1234191
743	3572732	1229327
744	3576882	1224302
745	3581377	1219396
746	3585581	1214393
747	3589848	1209414
748	3594983	1204727
749	3599631	1199877
750	3603897	1194900
751	3609002	1190202
752	3613521	1185311
753	3617994	1180406
754	3622101	1175383
755	3626913	1170591
756	3631677	1165782
757	3636470	1160984
758	3640881	1156063
759	3645732	1151284
760	3650130	1146361
761	3654531	1141441
762	3659091	1136572
763	3663633	1131698
764	3668145	1126815
765	3672659	1121935
766	3677025	1117010
767	3681833	1112220
768	3686089	1107264
769	3691067	1102526
770	3696430	1097902
771	3702424	1093462
772	3707974	1088887
773	3712712	1084073
774	3717078	1079151
775	3721036	1074113
776	3725610	1069254
777	3730094	1064371
778	3734803	1059552
779	3739413	1054706
780	3743856	1049813
781	3748785	1045057
782	3753421	1040220
783	3758022	1035373
784	3762640	1030532
785	3767063	1025638
786	3771974	1020877
787	3776386	1015982
788	3780481	1011003
789	3784704	1006060
790	3789427	1001252
791	3794110	996433
792	3798977	991662
793	3803490	986799
794	3808556	982080
795	3812939	977185
796	3817501	972337
797	3822424	967581
798	3826634	962645
799	3831326	957831
800	3835877	952983
801	3839902	948005
802	3844294	943120
803	3848520	938196
804	3853776	933523
805	3858872	928810
806	3863073	923882
807	3868002	919129
808	3872718	914325
809	3877763	909598
810	3882371	904769
811	3887042	899955
812	3891686	895135
813	3895986	890237
814	3900880	885475
815	3905235	880592
816	3909936	875787
817	3915264	871122
818	3920436	866421
819	3924714	861522
820	3929170	856664
821	3934042	851897
822	3938466	847033
823	3943160	842228
824	3947996	837453
825	3952102	832525
826	3957215	827809
827	3961706	822963
828	3966211	818120
829	3970722	813280
830	3974934	808380
831	3979535	803560
832	3983911	798695
833	3988395	793853
834	3993243	789084
835	3997580	784214
836	4002264	779413
837	4006873	774598
838	4011636	769813
839	4016788	765102
840	4021134	760238
841	4025663	755409
842	4030474	750634
843	4034662	745743
844	4039292	740935
845	4043928	736128
846	4048392	731291
847	4052643	726417
848	4056688	721507
849	4062063	716834
850	4066750	712039
851	4071366	707232
852	4075792	702393
853	4080150	697543
854	4084489	692691
855	4089109	687887
856	4093888	683110
857	4098342	678280
858	4102955	673476
859	4108086	668758
860	4112662	663948
861	4117215	659136
862	4121818	654332
863	4126254	649503
864	4131135	644743
865	4135267	639868
866	4140337	635138
867	4144488	630267
868	4149541	625535
869	4154829	620836
870	4159458	616039
871	4163561	611164
872	4167473	606264
873	4172090	601468
874	4176318	596616
875	4180764	591797
876	4184963	586944
877	4190314	582253
878	4194972	577464
879	4199770	572695
880	4204252	567884
881	4208575	563051
882	4212873	558217
883	4216984	553359
884	4221759	548590
885	4226221	543780
886	4230279	538919
887	4234660	534101
888	4239464	529336
889	4243943	524532
890	4248211	519702
891	4253298	514973
892	4257413	510126
893	4261737	505306
894	4266596	500550
895	4270928	495732
896	4275319	490923
897	4279742	486117
898	4284293	481327
899	4288833	476537
900	4293388	471748
901	4298123	466980
902	4302607	462184
903	4307017	457382
904	4311357	452573
905	4316591	447858
906	4320743	443031
907	4325149	438230
908	4329304	433406
909	4334319	428668
910	4339087	423906
911	4343931	419151
912	4348984	414415
913	4353243	409604
914	4357662	404810
915	4362111	400018
916	4366624	395234
917	4371058	390443
918	4376130	385708
919	4380712	380931
920	4385904	376206
921	4389915	371381
922	4394831	366632
923	4399568	361869
924	4404140	357092
925	4408451	352295
926	4413240	347536
927	4417567	342742
928	4422210	337973
929	4427280	333236
930	4431476	328433
931	4435929	323651
932	4440792	318899
933	4445644	314146
934	4449775	309342
935	4453994	304546
936	4459301	299824
937	4463658	295039
938	4468160	290263
939	4472449	285475
940	4477268	280721
941	4481776	275947
942	4486169	271168
943	4490976	266413
944	4495338	261633
945	4499883	256864
946	4504382	252093
947	4509539	247358
948	4513894	242580
949	4518696	237826
950	4523672	233080
951	4528001	228302
952	4532844	223550
953	4538081	218817
954	4542442	214041
955	4546745	209264
956	4551548	204510
957	4556082	199744
958	4560488	194973
959	4565217	190217
960	4569508	185443
961	4574163	180684
962	4578761	175923
963	4582736	171139
964	4587392	166382
965	4591692	161612
966	4595888	156840
967	4600698	152089
968	4605360	147333
969	4609568	142563
970	4613929	137800
971	4618465	133042
972	4622849	128280
973	4627171	123517
974	4632352	118778
975	4636924	114022
976	4641414	109265
977	4645675	104503
978	4649888	99742
979	4654139	94982
980	4658667	90229
981	4663042	85473
982	4667901	80726
983	4672386	75973
984	4676508	71215
985	4680966	66464
986	4685859	61718
987	4690085	56964
988	4694747	52216
989	4699435	47469
990	4703481	42715
991	4707925	37967
992	4712489	33219
993	4717134	28473
994	4721388	23725
995	4725591	18978
996	4730300	14233
997	4734515	9488
998	4739023	4743
999	4744025	0
